spread_rank,canonical_id,identifier_type,hyg_id,hip,hd,hr,gl,bf,proper_name,display_type,spectral_type,distance_pc,distance_ly,apparent_magnitude,absolute_magnitude,luminosity_lsol,color_index,constellation_abbr,constellation_name,ra_hours,dec_degrees,x_pc,y_pc,z_pc,nearest_selected_neighbor_pc,nearest_selected_neighbor_ly,source_catalog,source_url
2821,HIP 63955,HIP,63752,63955,113801,,,,,Orange Giant,K0IIICN...,649.3506,2117.895943,8.5,-0.562,146.150397,1.183,Vir,Virgo,13.10689,-20.05874,-584.53001,-174.293126,-222.716389,39.493674,128.810987,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2822,HIP 63957,HIP,63754,63957,113957,,,,,Orange Star,K2,709.2199,2313.163257,8.92,-0.334,118.467712,1.268,CVn,Canes Venatici,13.106998,52.232479,-416.254097,-124.129804,560.639978,64.764762,211.234157,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2823,HIP 70534,HIP,70311,70534,129560,,,,,Orange Star,K0,531.9149,1734.872361,8.62,-0.009,87.821328,1.204,UMi,Ursa Minor,14.429342,85.273022,-35.26384,-26.036013,530.105695,64.930003,211.773101,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2824,HIP 65054,HIP,64849,65054,115816,,,,,Orange Giant,K2III,662.2517,2159.973655,8.53,-0.575,147.910839,1.293,Cen,Centaurus,13.334739,-34.579507,-512.30624,-186.677592,-375.860488,77.820943,253.817674,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2825,HIP 64107,HIP,63904,64107,,,,,,Yellow-White Star,F0,781.25,2548.09375,10.07,0.606,49.842521,0.26,CVn,Canes Venatici,13.137782,32.04654,-633.04017,-194.346092,414.537456,61.513485,200.629923,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2826,HIP 65525,HIP,65320,65525,,,,,,Orange Main Sequence,K1V,787.4016,2568.157562,9.89,0.409,59.758543,1.12,CVn,Canes Venatici,13.431222,43.012194,-535.808956,-210.718587,537.129147,67.224046,219.25526,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2827,HIP 64144,HIP,63941,64144,,,,,,Yellow-White Star,F8,819.6721,2673.409734,9.72,0.152,75.718151,1.05,Vir,Virgo,13.146105,-7.054783,-777.122296,-240.43438,-100.670732,52.951094,172.703169,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2828,HIP 64149,HIP,63946,64149,114397,,,,,Orange Star,K0,943.3962,3076.94331,7.78,-2.093,598.687237,1.571,Dra,Draco,13.147409,65.572941,-372.657521,-115.435373,858.951358,69.101614,225.379059,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2829,HIP 64360,HIP,64155,64360,114704,,,,,Orange Star,K5,591.716,1929.917237,8.53,-0.331,118.140825,1.284,CVn,Canes Venatici,13.191641,46.952148,-384.414067,-123.97426,432.416503,47.323231,154.347558,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2830,HIP 64740,HIP,64535,64740,115442,,,,,Orange Subgiant,K0III-IV,543.4783,1772.587084,8.18,-0.496,137.53081,1.187,UMa,Ursa Major,13.268766,57.090924,-279.135926,-96.28569,456.268411,40.822353,133.144553,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
